cell,gene
ABprpaaapa,pry-1
ABprpaaapa,str-3
ABprpaaapa,jkk-1
ABprpaaapa,smp-2
ABprpaaapa,nhr-85
ABpraapaap,nlp-7
ABpraapaap,par-6
ABpraapaap,gst-44
ABpraapaap,rhgf-1
ABpraapaap,cat-1
ABpraapaap,spn-4
ABpraapaap,mig-1
ABpraapaap,psa-4
ABpraapaap,nhr-22
ABpraapaap,pry-1
ABpraapaap,str-3
ABpraapaap,jkk-1
ABpraapaap,smp-2
M.vrp,odr-2
M.vrp,F55G1.6
M.vrp,nlp-10
M.vrp,tbx-8
M.vrp,nfm-1
M.vrp,tlp-1
ABalappppaa,nlp-7
ABalappppaa,par-6
ABalappppaa,gst-44
ABalappppaa,rhgf-1
ABalappppaa,cat-1
ABalappppaa,spn-4
ABalappppaa,mig-1
ABalappppaa,psa-4
ABalappppaa,nhr-22
ABalappppaa,pry-1
ABalappppaa,str-3
ABalappppaa,smp-2
H2L.pa,B0285.6
ABpraapaaa,nlp-7
ABpraapaaa,par-6
ABpraapaaa,gst-44
ABpraapaaa,rhgf-1
ABpraapaaa,cat-1
ABpraapaaa,spn-4
ABpraapaaa,mig-1
ABpraapaaa,psa-4
ABpraapaaa,nhr-22
ABpraapaaa,pry-1
ABpraapaaa,str-3
ABpraapaaa,jkk-1
ABpraapaaa,smp-2
g1AR,mes-2
g1AR,par-6
g1AR,gst-44
g1AR,rhgf-1
g1AR,num-1
g1AR,cat-1
g1AR,psa-4
g1AR,R12E2.7
g1AR,pry-1
g1AR,str-3
g1AR,smp-2
g1AR,nmr-2
M.vra,odr-2
M.vra,nlp-10
M.vra,tbx-8
M.vra,nfm-1
M.vra,tlp-1
H2L.pp,B0285.6
ABarapaaa,nlp-7
ABarapaaa,par-6
ABarapaaa,gst-44
ABarapaaa,rhgf-1
ABarapaaa,cat-1
ABarapaaa,spn-4
ABarapaaa,mig-1
ABarapaaa,psa-4
ABarapaaa,pry-1
ABarapaaa,str-3
ABarapaaa,acy-1
ABarapaaa,smp-2
ABarapaaa,nhr-85
V5L.pppap,alh-9
SM1L,odr-2
SM1L,egl-5
SM1L,hlh-1
SM1L,gar-2
SM1L,unc-64
SM1R,odr-2
SM1R,egl-5
SM1R,hlh-1
SM1R,gar-2
SM1R,unc-64
